block_number,total_supply,timestamp,time
13961306,18135246626615305099397309,1641598834,2022-01-07 23:40:34
13967306,18135246626615305099397309,1641678569,2022-01-08 21:49:29
13974306,18135246626615305099397309,1641771253,2022-01-09 23:34:13
13980306,18135246626615305099397309,1641852192,2022-01-10 22:03:12
13987306,18135246626615305099397309,1641944758,2022-01-11 23:45:58
13993306,18135246626615305099397309,1642024866,2022-01-12 22:01:06
13999306,18135246626615305099397309,1642105629,2022-01-13 20:27:09
14006306,18135246626615305099397309,1642198873,2022-01-14 22:21:13
14012306,18135246626615305099397309,1642279656,2022-01-15 20:47:36
14019306,18135246626615305099397309,1642372992,2022-01-16 22:43:12
14025306,18135246626615305099397309,1642452664,2022-01-17 20:51:04
14032306,18135246626615305099397309,1642545782,2022-01-18 22:43:02
14038306,18135246626615305099397309,1642626584,2022-01-19 21:09:44
14045306,18203250540089170224426290,1642719394,2022-01-20 22:56:34
14051306,18203250540089170224426290,1642800339,2022-01-21 21:25:39
14058306,18203250540089170224426290,1642893053,2022-01-22 23:10:53
14064306,18203250540089170224426290,1642972812,2022-01-23 21:20:12
14071306,18203250540089170224426290,1643066855,2022-01-24 23:27:35
14077306,18203250540089170224426290,1643147692,2022-01-25 21:54:52
14084306,18203250540089170224426290,1643241209,2022-01-26 23:53:29
14090306,18203250540089170224426290,1643321367,2022-01-27 22:09:27
14096306,18203250540089170224426290,1643401414,2022-01-28 20:23:34
14103306,18203250540089170224426290,1643494609,2022-01-29 22:16:49
14109306,18203250540089170224426290,1643574074,2022-01-30 20:21:14
14116306,18203250540089170224426290,1643667310,2022-01-31 22:15:10
14122306,18203250540089170224426290,1643747404,2022-02-01 20:30:04
14129306,18203250540089170224426290,1643840878,2022-02-02 22:27:58
14135306,18203250540089170224426290,1643921810,2022-02-03 20:56:50
14142306,18203250540089170224426290,1644013988,2022-02-04 22:33:08
14148306,18203250540089170224426290,1644095307,2022-02-05 21:08:27
14155306,18203250540089170224426290,1644187922,2022-02-06 22:52:02
14161306,18203250540089170224426290,1644268318,2022-02-07 21:11:58
14168306,18203250540089170224426290,1644361572,2022-02-08 23:06:12
14174306,18203250540089170224426290,1644442116,2022-02-09 21:28:36
14181306,18203250540089170224426290,1644535979,2022-02-10 23:32:59
14187306,18203250540089170224426290,1644616174,2022-02-11 21:49:34
14194306,18203250540089170224426290,1644708973,2022-02-12 23:36:13
14200306,18203250540089170224426290,1644788692,2022-02-13 21:44:52
14207306,18203250540089170224426290,1644882677,2022-02-14 23:51:17
14213306,18203250540089170224426290,1644962567,2022-02-15 22:02:47
14219306,18203250540089170224426290,1645042919,2022-02-16 20:21:59
14226306,18271509456008989073999433,1645136270,2022-02-17 22:17:50
14232306,18271509456008989073999433,1645217218,2022-02-18 20:46:58
14239306,18271509456008989073999433,1645311662,2022-02-19 23:01:02
14245306,18271509456008989073999433,1645391453,2022-02-20 21:10:53
14252306,18271509456008989073999433,1645485203,2022-02-21 23:13:23
14258306,18271509456008989073999433,1645565745,2022-02-22 21:35:45
14265306,18271509456008989073999433,1645658585,2022-02-23 23:23:05
14271306,18271509456008989073999433,1645738851,2022-02-24 21:40:51
14278306,18271509456008989073999433,1645832593,2022-02-25 23:43:13
14284306,18271509456008989073999433,1645912739,2022-02-26 21:58:59
14291306,18271509456008989073999433,1646005796,2022-02-27 23:49:56
14297306,18271509456008989073999433,1646086686,2022-02-28 22:18:06
14303306,18271509456008989073999433,1646166750,2022-03-01 20:32:30
14310306,18271509456008989073999433,1646260555,2022-03-02 22:35:55
14316306,18271509456008989073999433,1646341038,2022-03-03 20:57:18
14323306,18271509456008989073999433,1646434494,2022-03-04 22:54:54
14329306,18271509456008989073999433,1646515406,2022-03-05 21:23:26
14336306,18271509456008989073999433,1646609911,2022-03-06 23:38:31
14342306,18271509456008989073999433,1646690824,2022-03-07 22:07:04
14348306,18271509456008989073999433,1646771131,2022-03-08 20:25:31
14355306,18271509456008989073999433,1646865133,2022-03-09 22:32:13
14361306,18271509456008989073999433,1646944608,2022-03-10 20:36:48
14368306,18271509456008989073999433,1647039657,2022-03-11 23:00:57
14374306,18271509456008989073999433,1647119601,2022-03-12 21:13:21
14381306,18271509456008989073999433,1647214796,2022-03-13 23:39:56
14387306,18271509456008989073999433,1647295123,2022-03-14 21:58:43
14393306,18271509456008989073999433,1647376112,2022-03-15 20:28:32
