,reth_fair_value,reth_market_price,reth_premium,time
1998,1.059447380272713,1.072101920640434,1.0119444727537708,2023-02-20T22:31:47Z
1999,1.059447380272713,1.0721925118929505,1.0120299807782402,2023-02-20T22:28:47Z
2000,1.059447380272713,1.0722831146282208,1.0121154996411468,2023-02-20T22:25:23Z
2001,1.059447380272713,1.072373728848186,1.0122010293443227,2023-02-20T22:20:11Z
2002,1.059447380272713,1.0724643545547872,1.0122865698896,2023-02-20T22:16:35Z
2003,1.059447380272713,1.0724643545547872,1.0122865698896,2023-02-20T22:16:11Z
2004,1.059447380272713,1.0725549917499655,1.012372121278811,2023-02-20T22:12:11Z
2005,1.059447380272713,1.0725980713680914,1.012412783626869,2023-02-20T22:08:35Z
2006,1.059447380272713,1.0726247301674587,1.0124379465560185,2023-02-20T21:56:11Z
2007,1.059447380272713,1.0724701749097576,1.0122920636546315,2023-02-20T21:23:59Z
2008,1.059447380272713,1.072496575752207,1.0123169831012608,2023-02-20T12:59:59Z
2009,1.059447380272713,1.0725872170321682,1.0124025383460507,2023-02-20T12:29:47Z
2010,1.059447380272713,1.0726031424289861,1.01241757014198,2023-02-20T12:25:59Z
2011,1.059447380272713,1.0726031424289861,1.01241757014198,2023-02-20T12:24:23Z
2012,1.059447380272713,1.0726031424289861,1.01241757014198,2023-02-20T12:23:23Z
2013,1.059447380272713,1.0726031424289861,1.01241757014198,2023-02-20T12:22:11Z
2014,1.059447380272713,1.0726031424289861,1.01241757014198,2023-02-20T12:21:35Z
2015,1.059447380272713,1.0726031424289861,1.01241757014198,2023-02-20T12:18:23Z
2016,1.059344710480497,1.072631435722881,1.0125424001374939,2023-02-20T10:48:23Z
2017,1.059344710480497,1.072631435722881,1.0125424001374939,2023-02-20T10:29:47Z
2018,1.059344710480497,1.0726278220264447,1.0125389888810818,2023-02-20T09:18:59Z
2019,1.059344710480497,1.0727632093485904,1.01266679177735,2023-02-20T07:52:59Z
2020,1.059344710480497,1.0728691225362428,1.0127667716862545,2023-02-20T07:25:59Z
2021,1.059344710480497,1.0728691225362428,1.0127667716862545,2023-02-20T07:23:59Z
2022,1.059344710480497,1.0728691225362428,1.0127667716862545,2023-02-20T07:23:11Z
2023,1.059344710480497,1.0728691225362428,1.0127667716862545,2023-02-20T07:21:11Z
2024,1.059344710480497,1.0729422353096147,1.0128357886668922,2023-02-20T07:20:47Z
2025,1.059344710480497,1.0729422353096147,1.0128357886668922,2023-02-20T07:19:59Z
2026,1.059344710480497,1.0729422353096147,1.0128357886668922,2023-02-20T07:19:11Z
2027,1.059344710480497,1.0729422353096147,1.0128357886668922,2023-02-20T07:18:35Z
2028,1.059344710480497,1.0729422353096147,1.0128357886668922,2023-02-20T07:17:35Z
2029,1.059344710480497,1.0729422353096147,1.0128357886668922,2023-02-20T07:15:35Z
2030,1.059344710480497,1.0729988395610168,1.012889221936386,2023-02-20T06:51:47Z
2031,1.059344710480497,1.073035704610446,1.0129240217980973,2023-02-20T06:43:35Z
2032,1.059344710480497,1.073035704610446,1.0129240217980973,2023-02-20T06:41:47Z
2033,1.059344710480497,1.073035704610446,1.0129240217980973,2023-02-20T06:39:47Z
2034,1.059344710480497,1.073035704610446,1.0129240217980973,2023-02-20T06:39:11Z
2035,1.059344710480497,1.073035704610446,1.0129240217980973,2023-02-20T06:37:47Z
2036,1.059344710480497,1.0731238834861934,1.0130072608749294,2023-02-20T06:37:11Z
2037,1.059344710480497,1.0731238834861934,1.0130072608749294,2023-02-20T06:36:35Z
2038,1.059344710480497,1.0731238834861934,1.0130072608749294,2023-02-20T06:35:59Z
2039,1.059344710480497,1.0732116196381334,1.0130900820294337,2023-02-20T06:35:23Z
2040,1.059344710480497,1.0732116196381334,1.0130900820294337,2023-02-20T06:34:11Z
2041,1.059344710480497,1.0732880995424898,1.0131622775136797,2023-02-20T06:32:59Z
2042,1.059344710480497,1.0732880995424898,1.0131622775136797,2023-02-20T06:29:23Z
2043,1.059344710480497,1.0732880995424898,1.0131622775136797,2023-02-20T06:28:23Z
2044,1.059344710480497,1.0733317671837768,1.0132034988846412,2023-02-20T06:27:47Z
2045,1.059344710480497,1.0733317671837768,1.0132034988846412,2023-02-20T06:26:59Z
2046,1.059344710480497,1.0733317671837768,1.0132034988846412,2023-02-20T06:26:23Z
2047,1.059344710480497,1.0730762795348756,1.0129623237068417,2023-02-20T03:20:35Z
