block_number,timestamp,tick,price
16334940,2023-01-04T17:33:11,-79458,0.00035428717797673833
16335118,2023-01-04T18:08:47,-79477,0.0003536147050132779
16335167,2023-01-04T18:18:35,-79498,0.00035287293035684257
16335167,2023-01-04T18:18:35,-79497,0.00035290821764987824
16335351,2023-01-04T18:55:23,-79498,0.00035287293035684257
16335361,2023-01-04T18:57:23,-79561,0.0003506569294257793
16335408,2023-01-04T19:06:47,-79522,0.0003520270930259266
16335433,2023-01-04T19:11:47,-79520,0.00035209750196480273
16335457,2023-01-04T19:16:35,-79486,0.00035329661084705427
16335559,2023-01-04T19:36:59,-79484,0.0003533672737021898
16335878,2023-01-04T20:40:47,-79472,0.00035379154773079133
16336107,2023-01-04T21:26:59,-79474,0.0003537208000335766
16336111,2023-01-04T21:27:47,-79493,0.0003530494021128429
16336123,2023-01-04T21:30:11,-79512,0.00035237927857339503
16336209,2023-01-04T21:47:23,-79513,0.00035234404416897814
16336235,2023-01-04T21:52:35,-79537,0.0003514994745796287
16336235,2023-01-04T21:52:35,-79536,0.00035153462452708665
16336274,2023-01-04T22:00:23,-79537,0.0003514994745796287
16336303,2023-01-04T22:06:11,-79565,0.00035051670171269006
16336303,2023-01-04T22:06:11,-79564,0.0003505517533828613
16336315,2023-01-04T22:08:35,-79565,0.00035051670171269006
16336315,2023-01-04T22:08:35,-79575,0.0003501663777180747
16336350,2023-01-04T22:15:35,-79579,0.0003500263461766232
16336354,2023-01-04T22:16:23,-79599,0.0003493270280008662
16336756,2023-01-04T23:37:11,-79840,0.00034100929376461786
16336776,2023-01-04T23:41:11,-80188,0.0003293468567483729
16336893,2023-01-05T00:04:47,-80073,0.00033315601583301934
16337119,2023-01-05T00:50:23,-80096,0.00033239067574144615
16337189,2023-01-05T01:04:35,-80191,0.0003292480724488668
16337235,2023-01-05T01:13:47,-80626,0.0003152335085206778
16337239,2023-01-05T01:14:35,-80480,0.00031986944595001283
16337465,2023-01-05T01:59:47,-80223,0.0003281962150783553
16337534,2023-01-05T02:13:35,-79908,0.0003386984120112877
16337538,2023-01-05T02:14:23,-80047,0.0003340233050979405
16337836,2023-01-05T03:14:59,-79742,0.000344367445004807
16337856,2023-01-05T03:18:59,-80083,0.00033282304297972454
16337895,2023-01-05T03:26:47,-79879,0.00033968201376008195
16338053,2023-01-05T03:58:23,-79882,0.0003395801295334784
16338249,2023-01-05T04:38:11,-79139,0.00036577055085818894
16338254,2023-01-05T04:39:11,-79309,0.000359605312745671
16338267,2023-01-05T04:41:47,-79534,0.0003516049349673383
16338300,2023-01-05T04:48:23,-79101,0.0003671630534067646
16338310,2023-01-05T04:50:23,-79238,0.00036216746724641576
16338533,2023-01-05T05:34:59,-79604,0.00034915241687369597
16338929,2023-01-05T06:54:11,-79618,0.0003486639699046683
16338975,2023-01-05T07:03:23,-79232,0.0003623848220591275
16338983,2023-01-05T07:04:59,-79096,0.0003673466716534451
16338987,2023-01-05T07:05:47,-79197,0.0003636553274997329
16338988,2023-01-05T07:05:59,-79008,0.0003705934247915456
16338992,2023-01-05T07:06:47,-79184,0.00036412836318066937
16338996,2023-01-05T07:07:35,-79287,0.00036039727567603916
16339001,2023-01-05T07:08:35,-79178,0.0003643468948251153
16339006,2023-01-05T07:09:35,-78989,0.00037129818637265455
16339020,2023-01-05T07:12:35,-79061,0.0003686345731231369
16339073,2023-01-05T07:23:11,-79034,0.0003696311814568243
16339099,2023-01-05T07:28:23,-78766,0.0003796707241604646
16339110,2023-01-05T07:30:35,-78942,0.000373047307609229
16339118,2023-01-05T07:32:11,-79011,0.0003704822689960083
16339204,2023-01-05T07:49:23,-78478,0.0003907636579304782
16339204,2023-01-05T07:49:23,-78690,0.00038256706901935533
16339295,2023-01-05T08:07:35,-78743,0.00038054492806569886
16339321,2023-01-05T08:12:47,-78956,0.0003725254328694314
16339321,2023-01-05T08:12:47,-78956,0.0003725254328694314
16339548,2023-01-05T08:58:47,-79162,0.00036493028727720985
16339611,2023-01-05T09:11:23,-79274,0.0003608660733473924
16339656,2023-01-05T09:20:35,-79600,0.0003492920987909871
16339660,2023-01-05T09:21:23,-79921,0.00033825841213718183
16339663,2023-01-05T09:21:59,-79664,0.0003470638786775096
16339667,2023-01-05T09:22:47,-79893,0.0003392068154167912
16339750,2023-01-05T09:39:23,-79627,0.0003483503291730283
16340299,2023-01-05T11:29:23,-79364,0.00035763301094057386
16340344,2023-01-05T11:38:35,-79218,0.0003628924907121427
16340377,2023-01-05T11:45:23,-79195,0.0003637280622017861
16340792,2023-01-05T13:08:47,-79040,0.0003694094803498037
16340804,2023-01-05T13:11:23,-79291,0.00036025315279828964
16341457,2023-01-05T15:22:35,-79472,0.00035379154773079133
16341728,2023-01-05T16:17:11,-79368,0.0003574899934923473
16341731,2023-01-05T16:17:47,-79388,0.00035677576368413084
16341772,2023-01-05T16:26:11,-79400,0.0003563479109229879
16341988,2023-01-05T17:09:35,-79272,0.00036093825017072256
16341993,2023-01-05T17:10:47,-79295,0.0003601090875552818
16342000,2023-01-05T17:12:11,-79313,0.0003594615065739132
16342045,2023-01-05T17:21:11,-79342,0.0003584206302479148
16342334,2023-01-05T18:19:23,-79152,0.0003652953818269156
16342451,2023-01-05T18:42:47,-79145,0.0003655511653190112
16342464,2023-01-05T18:45:23,-79146,0.00036551461385762543
16342930,2023-01-05T20:19:47,-79278,0.0003607217629974447
16344043,2023-01-06T00:03:59,-79199,0.0003635826073424383
16344053,2023-01-06T00:05:59,-79168,0.0003647114057197724
16344065,2023-01-06T00:08:23,-79137,0.00036584370862606606
16344072,2023-01-06T00:09:47,-79107,0.00036694283265840526
16344225,2023-01-06T00:40:23,-79039,0.00036944642129783863
16344364,2023-01-06T01:08:11,887271,3.4022276455660783e+38
